stage,bucket_id,count,pct,top_samples
Risk,privacy_security,262,12.9%,risk of data breach exposing sensitive personal information | risk of unauthorized personal data exfiltration from AI chatbot conversations | Risk of unauthorized voice imitation | risk of privacy violation through non-consensual facial recognition dataset crea | Risk of personal data misuse in AI development | Risk of unauthorized exposure of sensitive personal data captured by AI | Risk of unauthorized or non-compliant biometric data processing | privacy infringement risk from AI-driven traffic monitoring | Risk of AI-generated non-consensual intimate imagery being created and distribut | Risk of privacy invasion through facial recognition search engine
Risk,socioeconomic_environmental,124,6.1%,Risk of increased electronic waste generation | Risk of AI-generated news content degrading journalistic standards and viewer tr | Risk of copyright infringement and terms of service violation in AI training dat | increased carbon footprint from AI development and deployment | Risk of AI-generated content reproducing copyrighted material without permission | Risk of copyright infringement through unauthorized use of authors' works | risk of AI-generated content infringing on artists' intellectual property and st | risk of undermining artistic integrity and consumer trust | Risk of public backlash and reputational damage from perceived unethical AI use | risk of AI-driven fundamental rights violations from automated deception detecti
Risk,hci,83,4.1%,risk of public backlash and reputational damage from AI-generated personas | risk of user deception and manipulation by AI | risk of passenger harassment due to forced vehicle stops by pedestrians | Risk of collision due to automated driving system failing to detect vulnerable r | Risk of AI-generated vulnerability reports being submitted to bug bounty program | risk of unsafe over-reliance on driver assistance systems | Risk of driver over-reliance on partially automated driving systems | Risk of collision when Autopilot fails to detect obstacles | Risk of automated termination of workers without human oversight | risk of over-blocking legitimate content
Consequence,misinformation_spread,311,15.3%,Law firm submitted legal brief containing six fictitious case citations to feder | false event was promoted and believed by the public | AI search features presented discredited race science and false IQ scores as fac | foragers receive visually misleading information about mushroom species | Fabricated critic quotes were included in a publicly released film trailer | consumers exposed to deceptive health product promotions featuring deepfaked doc | Viral spread of a debunked deepfake video impersonating a political candidate ac | large numbers of AI-generated bot accounts evaded detection and engaged with gov | Viral spread of fabricated images depicting a political figure in a criminal con | Propagation of AI-generated propaganda targeting geopolitical issues across mult
Consequence,privacy_violation,309,15.2%,"fake nude images of female students were created and circulated among students v | Millions of users accessed AI bots to generate explicit images of real individua | an individual was denied entry and escorted out after being identified by facial | leak of over 1 million records including facial recognition biometrics, driver's | widespread creation and distribution of digitally generated nude images | sensitive user information extracted and exfiltrated to unauthorized parties | AI-generated sexually explicit images of individuals created and distributed wit | Government creates a massive biometric database of migrant children's faces enab | AI system imitated a user's voice without permission | Real-time AI analysis of surveillance footage across the city"
Consequence,other,272,13.4%,"Significant addition of e-waste from high-performance computing hardware | AI news anchors broadcast with unnatural appearance and pronunciation errors | Model generated phishing emails and malware scripts upon request | organizations' carbon footprints surged, delaying or jeopardizing climate goals | users directed to broken URLs | Regulatory intervention suspending biometric data collection | covers were pulled and replaced by the publisher | Legal action and cease-and-desist orders issued by music industry bodies against | generation of sexual and violent images via text prompts | fake ID generated by AI successfully bypassed identity verification"
Consequence,physical_harm,235,11.6%,"security robot fell into a water fountain and became inoperable | Delivery robot struck by a vehicle | delivery robot slid off the sidewalk and collided with a parked car | Robot fell down a two-meter staircase and became unresponsive | worker struck and crushed by robotic arm | Fatal collision between a Tesla vehicle and a motorcyclist | Vehicle collided with a curb and then a utility pole | Autonomous vehicles struck, dragged, or failed to avoid colliding with pedestria | User armed with a crossbow breached Windsor Castle grounds to attempt an assassi | AI chatbot provided step-by-step instructions for creating a dangerous weapon"
Consequence,discrimination,155,7.6%,"Welfare recipients flagged and scrutinized based on nationality and automated ri | Legitimate charitable organization account banned for ten years | legitimate claimants wrongly flagged for fraud investigation | Facial recognition system disproportionately misidentifies women and people with | AI hiring tool systematically downgraded female candidates' résumés | AI-generated character made transphobic remarks during a live broadcast | discriminatory image processing for black individuals | Disproportionate flagging of disabled individuals for fraud investigation | Automated denial of social electricity bonus subsidies to eligible applicants | Discriminatory treatment of riders through automated booking, assignment, and ra"
Consequence,financial_loss,143,7.0%,"Cost-effective, automated phone scams mimicking trusted figures to extract sensi | Smart speaker placed an unintended order without user confirmation | Victim of the scam transferred a large sum of money to the fraudsters | Theft of 3.6 million Ether from the DAO | Alexa devices activated by broadcast audio and placed unintended orders for prod | rise in AI investment scams, voice cloning scams, and business email compromise | erroneous traffic challans issued based on flawed AI readings | Underground music collectors paid thousands of dollars for fake leaked tracks | victim transferred large sum of money to fraudster | individual automatically notified of a welfare debt based solely on algorithmic "
Consequence,legal_violation,127,6.2%,Individuals generating and disseminating AI-generated child sexual abuse materia | AI-generated alert used as central evidence in criminal prosecution despite bein | Regulatory intervention forcing suspension of AI training plans | public denied full access to documents on ethics and legality of AI border contr | Detention of individuals after attending a political funeral | AI image generation models were potentially exposed to illegal material during t | Defendant's conviction due to ineffective AI-assisted legal representation | Regulatory enforcement action threatening service suspension | AI system found to violate human rights | wrongful arrest based on incorrect facial match
Consequence,ip_infringement,86,4.2%,AI-generated promotional imagery closely resembling copyrighted film scenes was  | AI model trained on unlicensed content from numerous content creators and media  | Unauthorized reproduction and display of copyrighted news content by AI | AI-generated images labeled as 'Ansel Adams-style' were made available for sale  | plaintiff's voice used in unauthorized audiobooks circulating online | Publication of derivative articles that closely mirror original reporting from o | AI services compete with original content creators using their own copyrighted m | AI models generate nearly-identical copies of training images and prohibited vio | Unauthorized reproduction and distribution of copyrighted song lyrics by AI syst | Distribution of unauthorized AI-generated song on major streaming platforms
Consequence,security_breach,79,3.9%,"successful creation of malware and phishing tools using AI-generated code | Successful autonomous hacking and data exfiltration from online databases | compromise of encrypted communications and sensitive data | Facial recognition authentication was bypassed by an unauthorized user | an unverified individual could gain access to the device | High rate of successful malware bypass across diverse samples | malware misclassified as benign software, allowing it to evade detection | Anti-malware component of CylancePROTECT bypassed under certain circumstances | Attackers can remotely manipulate vehicle functions and access sensitive geoloca | unauthorized access to victims' devices and accounts"
Consequence,reputational_damage,74,3.6%,deepfake pornographic videos of the prime minister were uploaded to a pornograph | Unauthorized use of a journalist's likeness to promote a fraudulent investment s | public controversy and negative audience reaction | Public backlash from authors and shutdown of the AI-based analysis tool | publication and circulation of a false defamatory article | Public accusations of AI image manipulation in documentary | celebrities' likenesses are used without consent to promote fraudulent products | User outrage and organized boycotts against the platform's AI features | innocent individual's photo was publicly associated with a notorious criminal in | User backlash and significant drop in platform rating
Consequence,psychological_harm,73,3.6%,"public demo bot engaged with a hypothetical minor while deceiving about its huma | passenger trapped in autonomous vehicle while harassed by external individuals | individuals encounter deepfake pornography of themselves online | generation of disturbing, violent images by the AI | Human hotline staff replaced by a chatbot incapable of nuanced mental health cri | A violent, threatening message including rape and death threats was publicly dis | Self-checkout hosts must closely approach customers to resolve scanning issues d | Minors were exposed to videos promoting suicide, self-harm, and eating disorders | Human freelancer was deceived into completing a Captcha test on behalf of the AI | user subjected to argumentative, gaslighting, and accusatory behavior from AI ch"
Consequence,sector_harm,63,3.1%,High rate of incorrect or overly broad diagnoses in pediatric cases | users receive incorrect or outdated medical guidance from AI | mass layoff of employees based on algorithmic tagging | erasive workplace environment leading to employee resignation | Student wrongly accused of academic dishonesty due to AI detection false positiv | Hundreds of warehouse workers fired by automated system without supervisor revie | chatbot could provide inaccurate or harmful medical guidance | generation of dangerous medical advice | Displacement of human journalists and editors from news curation roles | Unreliable identification of AI-generated student submissions
Consequence,social_division,55,2.7%,"Negative public discourse and anger on social media | AI system generated violent imagery of political figures and ethnic minorities | Autocomplete feature generated and displayed antisemitic and ethnically identify | AI-generated characters produced false, stereotyped, or offensive statements abo | Chatbot generated offensive and controversial speech on restricted topics | applied face filters produced racially stereotyped morphs | A significant portion of hate speech views remain unaddressed by automated tools | smart speaker audibly output a racial slur in user homes | Hate speech and calls for violence successfully evaded detection and remained pu | Insensitive push notification generated for anniversary of Kristallnacht"
Consequence,democratic_harm,38,1.9%,"dissemination of false election information to voters | AI chatbots responded to election misinformation queries with debunked or incorr | hundreds of thousands exposed to fraudulent recording discussing vote rigging, b | ChatGPT generated content violating platform political campaigning prohibitions | Government public comment system was flooded with AI-generated submissions | AI-generated videos with synthetic faces and voices were distributed online to i | dissemination of deceptive electoral information | Dissemination of convincing fake audio clips to manipulate election outcomes | Chatbots provided false voting logistics and illogical election-related informat | AI-generated victory speech declared election results, influencing public percep"
Consequence,missing,14,0.7%,
Impact,individual_sustained,679,33.4%,"psychological distress for victims and fear of long-term reputational, academic, | reputational harm and defamation leading to legal action seeking monetary damage | Potential harm and exploitation of children and non-consenting adults through de | Large-scale financial fraud and identity theft targeting millions of consumers | individuals and families unfairly excluded and humiliated, creating a chilling e | Financial cost and consumer frustration from unauthorized purchases | significant privacy violation and potential identity theft affecting countless i | potential for abuse and harm to individuals depicted in non-consensual images | potential privacy violation, identity theft, and financial fraud against users | image-based sexual abuse and emotional harm to victims"
Impact,safety_security_risk,329,16.2%,"potentially fatal mushroom poisoning from misidentification | potential for espionage, ransomware, and malicious spam activities | Lowered technical barrier for cybercriminals to conduct attacks | Loss of robotic asset and disruption of municipal service | worker fatality from major trauma | Death of a motorcyclist | Potential data breaches and theft of sensitive information from online databases | undermining of cybersecurity and identity trust frameworks | Property damage and potential risk to pedestrian safety | Potential for medical harm if the model is used for real-world pediatric diagnos"
Impact,trust_erosion,265,13.0%,Undermining of local news credibility and potential misinformation about local t | Potential privacy violation and erosion of trust | reputational damage and erosion of audience trust | Erosion of creator trust and potential legal exposure for violating platform ter | Potential wrongful prosecution and erosion of trust in AI-assisted law enforceme | undermined trust in licensed news content and attribution | potential psychological harm and erosion of trust in AI systems | Erosion of author trust in AI tools and broader industry disputes over AI traini | reputational damage | Amplified online deception and erosion of public trust in information integrity
Impact,market_industry,180,8.8%,Reputational damage and embarrassment for the film studio and filmmakers | Financial harm and legal damages claimed by news organizations for copyright vio | Significant financial loss for the victim's business | Reputational harm and public criticism of the film and studio | wasted resources and unrealized expected benefits from the AI deployment | Financial loss of approximately $50 million and blockchain hard fork | financial loss for consumers and suspension of their e-commerce operations | Undermining of original journalism and unfair competition with content originato | financial loss and market competition harm to content creators | Loss of trust among creator community and mass user migration to competitor plat
Impact,democratic_erosion,137,6.7%,"Suppression of a charitable organization's online presence and inability to use  | Potential for privacy violations, mass surveillance, and erosion of civil libert | election integrity concerns | Potential reputational harm and misleading of voters during an election cycle | amplified reach of state-sponsored disinformation and manipulation of public dis | Dissemination of false voting information to the electorate | Erosion of trust in media, political confusion and deepened societal polarizatio | Potential to rig elections and distort public discourse on climate change and so | Repression of political dissent and erosion of civil liberties | silencing of government critics and exposure of confidential information"
Impact,social_norm_shift,114,5.6%,Amplification of harmful racial pseudoscience and stereotypes through trusted se | Widespread distribution of AI systems potentially influenced by illegal content | Increased effectiveness and plausibility of disinformation targeting disaster-af | discrimination and exclusion of citizens with migration backgrounds | Reputational damage to Meta and reinforcement of harmful stereotypes about Black | Widespread psychological trauma and panic among women leading to self-censorship | Potential harm to users relying on biased AI for moral or ethical decisions | Chilling effect on citizens' right to privacy and movement in public spaces | reinforced systemic racist policing practices | perceived privacy violation and tenant opposition
Impact,regulatory_response,97,4.8%,"Lawsuit dismissed and lawyers sanctioned with monetary fines by the court | Breach of human rights to privacy, equality, and social security; potential soci | Filing of a copyright infringement lawsuit against Tesla, Elon Musk, and Warner  | Potential violation of individuals' privacy rights under European law | Temporary suspension of biometric data processing in Portugal | AI platform forced to shut down or cease operations under legal pressure | Violation of biometric privacy rights and non-compliance with BIPA | Concern among U.S. Senators about the potential risks of the released model | Potential forced shutdown of the AI chatbot service in the UK | Violation of French constitutional law and initiation of legal action against Go"
Impact,developmental_harm,88,4.3%,"Creation and potential distribution of non-consensual intimate imagery, primaril | exposure to increased psychological risks for individuals in developmental stage | Potential harm to consumer rights, children's rights, and equality/non-discrimin | physical injury to a toddler and traumatization of the family | Children's voice recordings kept indefinitely and used unlawfully to improve Ale | potential denial of equal educational opportunity for minority students | Disruption of families and preemptive punitive measures against individuals, inc | Potential violation of privacy and autonomy of minors and vulnerable women, with | Exposure of young users to toxic and misleading information | 2 15-year-old minors died by suicide; other minors suffered mental health harm"
Impact,other,66,3.2%,loss of security asset and damage to robot | Exacerbation of the existing global e-waste problem | public confusion and waste of police resources | Physical damage to the delivery robot | property damage to a parked vehicle | hindered progress towards net-zero emissions targets | big threat to users’ privacy | potential public exposure to harmful AI-generated content | Potential copyright infringement and exposure to harmful content | Wasted resources and unmet expectations for improving adoption rates in child we
Impact,public_discourse,51,2.5%,disruption of planned publishing content and heightened public scrutiny | violation of personal publicity rights and public concern over AI misuse | Widespread dissemination of false information causing public confusion | Suppression or reduced visibility of legitimate information about a significant  | Censorship of legitimate content & disruption of information sharing during a pa | Potential manipulation of public discourse and erosion of trust in online politi | Potential harm to public discourse and targeted individuals through AI-generated | Diminished public awareness of a landmark sporting moment | Public alarm and controversy over AI-manipulated political representation | potential to influence public opinion and undermine diplomatic efforts regarding
Impact,missing,15,0.7%,
Impact,ai_development,13,0.6%,"developers may integrate erroneous code or practices into their projects | setback to the spread of generative AI technology in the workplace | Loss of international research partnerships and reputational damage for the AI c | Potential chilling effect on AI industry investment and development due to legal | research activities underpinning the Wordfreq project were compromised | Degradation in the performance of neural networks trained to analyze text tonali | reputational damage and abandonment of AI initiative | Legal and financial liability for AI companies, potential chilling effect on gen | model taken offline to prevent further dissemination of incorrect information | suspension of pilot program"
AffectedActor,other,720,35.4%,"Steven A. Schwartz | mushroom foragers | lawyers, their families, and potentially other critics of the company | Stevie Hyder | Mary Nightingale | individuals or organizations targeted by AI-generated malware | Michael Mosley | Kai Wong | Maurice Timberlake | RT"
AffectedActor,consumers_users,437,21.5%,"Francesca Mani | Bilal Farooqui | American consumers, particularly those vulnerable to impersonation fraud | Users of AI-powered search features seeking factual information | Smart speaker owners | patrons of bars and clubs where the facial recognition kiosks were deployed | users of AI chatbots | Users interacting with ChatGPT's Advanced Voice Mode | owner of the damaged parked car | Huawei Pura 70 series consumers"
AffectedActor,general_public,325,16.0%,Giorgia Meloni | Welfare recipients in Denmark | Global community and environment | Local newspaper readers and communities | voters and political candidates | Kamala Harris | General public targeted by phishing and ransomware campaigns | Olympic spectators and general public in Paris | benefit claimants | Voters and electoral process integrity
AffectedActor,children_students,117,5.8%,"Children, specifically teenage girls, and non-consenting adults | Young girls and individuals depicted in generated explicit images | Migrant children, including infants | minors and vulnerable users interacting with deceptive AI | Beverly Hills Unified School District | Pediatric patients | minors and emotionally vulnerable people | Pedestrians and children | Teenage and young adult females including students, teachers, and military colle | More than 20 girls"
AffectedActor,companies,113,5.6%,Spirit Halloween | Alcon Entertainment | Lionsgate | Starship Technologies | technology companies and the global environment | Film studio (A24) and film production (Civil War) | eBay | AI system managers and organizations relying on AI for financial decisions | Universal Music Group | Fuzhou tech firm legal representative
AffectedActor,media,90,4.4%,"magazine audience and publication stakeholders | The Associated Press | Center for Investigative Reporting | News media organizations and their readers | Recording artists, record labels, and music publishers | CryptoNewsLand | journalists, activists, and civil society members | news publishers, content creators, and artists | Rupert Murdoch | Cazadores de Fake News"
AffectedActor,minorities,78,3.8%,"Black women and other darker-skinned demographics | minority ethnic groups and individuals whose images were scraped without consent | Political figures and ethnic minorities depicted in violent imagery | Black and queer communities, users who engaged with the AI personas | Viewers and transgender community | Greater Manchester Coalition of Disabled People | people of color and minority communities | low-income families with dual nationalities | Uighur Muslim minority group | low-income and non-white customers in New York and Los Angeles"
AffectedActor,government,68,3.3%,Gumi City Council | New York Police Department and city officials | Bridgeton Police Department | Tribunale del Lavoro di Velletri | San Francisco Fire Chief Jeanine Nicholson | Centers for Medicare and Medicaid Services | New York Police Department and taxpayers | Ezemvelo KZN Wildlife | election workers | North Carolina Department of Transportation
AffectedActor,patients_health,37,1.8%,patients and health-care professionals | Individuals seeking mental health crisis support | Patients whose sex or age leads to biased diagnostic outcomes | users seeking medical advice | patients seeking medical advice | patients seeking medical advice | Black patients | people with disabilities and elderly individuals requiring home care | people with type 2 diabetes | insured patients and their treating physicians
AffectedActor,women,30,1.5%,"100 Heroines | individuals targeted by non-consensual nude image generation, particularly women | all-women's colleges | women and disabled job seekers | women depicted in photos | Individuals photographed without consent, particularly women | Real Women in Trucking | women using the contraceptive app | young women | Female professionals and female LinkedIn users"
AffectedActor,missing,19,0.9%,
